instance dfasat dfainductor dfainductor2
28_1400_125 1000 346.91 300.92
28_1400_126 1000 289.57 213.64
28_1400_127 1000 282.04 210.63
28_1400_128 1000 333.59 267.87
28_1400_129 1000 332.93 288.6
28_1400_130 1000 534.53 1000
28_1400_131 1000 272.46 265.68
28_1400_132 1000 295.28 289.48
28_1400_133 1000 259.44 239.16
28_1400_134 1000 264.22 216.0
28_1400_135 1000 254.51 236.71
28_1400_14 1000 433.72 488.93
28_1400_17 1000 305.44 320.3
28_1400_19 1000 286.98 267.15
28_1400_22 1000 293.01 232.32
28_1400_23 1000 331.93 295.34
28_1400_24 1000 330.46 248.06
28_1400_25 1000 288.6 239.21
28_1400_29 1000 453.74 504.13
28_1400_3 1000 317.85 223.44
28_1400_31 1000 292.98 228.68
28_1400_32 1000 307.02 221.78
28_1400_34 1000 383.72 335.2
28_1400_35 1000 360.53 376.61
28_1400_36 1000 280.72 168.76
28_1400_38 1000 306.02 206.99
28_1400_39 1000 344.47 267.17
28_1400_4 1000 340.07 237.17
28_1400_41 1000 275.21 205.45
28_1400_42 1000 294.96 205.59
28_1400_43 1000 304.98 223.73
28_1400_46 1000 289.76 226.72
28_1400_47 1000 347.73 337.24
28_1400_48 1000 366.38 320.45
28_1400_49 1000 347.4 268.06
28_1400_50 1000 274.93 270.7
28_1400_52 1000 392.97 354.1
28_1400_54 1000 314.87 306.12
28_1400_55 1000 365.19 288.24
28_1400_56 1000 283.18 277.22
28_1400_58 1000 342.78 291.24
28_1400_6 1000 340.34 268.47
28_1400_60 1000 340.65 222.55
28_1400_61 1000 283.41 201.31
28_1400_62 1000 306.84 203.04
28_1400_63 1000 362.49 286.13
28_1400_64 1000 268.02 186.09
28_1400_65 1000 223.43 221.84
28_1400_66 1000 304.3 248.48
28_1400_67 1000 298.06 272.83
28_1400_68 1000 287.32 286.18
28_1400_69 1000 271.98 248.15
28_1400_7 1000 385.16 394.7
28_1400_70 1000 365.76 287.41
28_1400_71 1000 234.79 181.56
28_1400_72 1000 296.68 180.91
28_1400_73 1000 382.13 319.36
28_1400_74 1000 321.29 267.1
28_1400_77 1000 301.39 310.02
28_1400_79 1000 325.1 260.45
28_1400_80 1000 307.82 214.14
28_1400_81 1000 323.95 216.47
28_1400_82 1000 325.94 258.43
28_1400_87 1000 336.81 311.88
28_1400_88 1000 283.68 197.82
28_1400_9 1000 327.55 215.97
28_1400_90 1000 452.5 444.33
28_1400_91 1000 289.89 210.78
28_1400_92 1000 235.66 164.21
28_1400_94 1000 262.7 221.41
28_1400_95 1000 279.07 240.82
28_1400_97 1000 342.13 260.78
28_1400_98 1000 297.01 190.84
28_1400_99 1000 315.87 258.02
30_1500_101 1000 415.0 372.04
30_1500_102 1000 435.02 334.76
30_1500_103 1000 307.23 333.0
30_1500_107 1000 440.27 348.35
30_1500_11 1000 573.55 405.9
30_1500_110 1000 416.16 484.82
30_1500_114 1000 446.64 429.4
30_1500_115 1000 468.82 417.76
30_1500_116 1000 1000 465.48
30_1500_118 1000 504.16 462.44
30_1500_120 1000 1000 1000
30_1500_122 1000 436.13 408.77
30_1500_124 1000 511.14 499.8
30_1500_125 1000 389.44 287.13
30_1500_126 1000 425.15 405.31
30_1500_128 1000 409.44 366.54
30_1500_129 1000 576.02 1000
30_1500_130 1000 437.92 311.16
30_1500_131 1000 449.25 384.46
30_1500_133 1000 423.18 398.27
30_1500_134 1000 435.16 353.87
30_1500_135 1000 465.85 401.07
30_1500_136 1000 487.06 412.27
30_1500_137 1000 486.84 460.42
30_1500_139 1000 464.51 492.78
30_1500_14 1000 505.05 393.02
30_1500_140 1000 473.39 397.45
30_1500_141 1000 444.88 401.39
30_1500_143 1000 445.42 493.5
30_1500_144 1000 404.45 522.63
30_1500_146 1000 454.62 428.17
30_1500_147 1000 458.68 399.82
30_1500_148 1000 1000 546.41
30_1500_149 1000 445.67 405.1
30_1500_15 1000 586.0 287.97
30_1500_150 1000 429.77 599.9
30_1500_151 1000 466.01 389.24
30_1500_152 1000 452.86 426.54
30_1500_153 1000 480.8 424.66
30_1500_154 1000 441.3 403.42
30_1500_155 1000 471.94 418.9
30_1500_157 1000 398.36 385.17
30_1500_158 1000 456.63 327.69
30_1500_159 1000 454.08 403.69
30_1500_16 1000 526.13 359.56
30_1500_18 1000 1000 570.21
30_1500_20 1000 1000 565.33
30_1500_21 1000 370.0 317.81
30_1500_23 1000 544.62 517.56
30_1500_24 1000 1000 543.08
30_1500_25 1000 547.04 527.6
30_1500_26 1000 524.72 582.35
30_1500_29 1000 1000 1000
30_1500_32 1000 457.16 272.96
30_1500_33 1000 521.85 377.99
30_1500_34 1000 524.46 420.74
30_1500_39 1000 464.67 397.51
30_1500_40 1000 1000 1000
30_1500_42 1000 336.66 328.18
30_1500_47 1000 486.91 405.04
30_1500_48 1000 440.55 359.5
30_1500_49 1000 1000 1000
30_1500_50 1000 427.18 370.05
30_1500_51 1000 352.82 227.06
30_1500_52 1000 379.99 309.26
30_1500_53 1000 406.34 367.17
30_1500_54 1000 391.42 331.26
30_1500_57 1000 362.0 340.26
30_1500_58 1000 395.02 346.48
30_1500_59 1000 351.95 309.75
30_1500_6 1000 440.23 330.62
30_1500_61 1000 386.79 277.48
30_1500_62 1000 403.53 314.93
30_1500_63 1000 336.34 297.92
30_1500_64 1000 311.21 245.15
30_1500_66 1000 410.16 340.52
30_1500_67 1000 439.97 453.95
30_1500_68 1000 407.97 325.03
30_1500_69 1000 345.94 249.06
30_1500_7 1000 435.21 345.56
30_1500_70 1000 338.63 282.68
30_1500_71 1000 404.5 310.7
30_1500_72 1000 377.55 264.48
30_1500_73 1000 372.23 254.81
30_1500_75 1000 384.36 313.57
30_1500_76 1000 369.03 306.98
30_1500_77 1000 348.29 280.01
30_1500_78 1000 435.1 401.19
30_1500_79 1000 384.23 370.23
30_1500_81 1000 391.36 366.76
30_1500_82 1000 377.18 280.85
30_1500_84 1000 339.58 269.39
30_1500_85 1000 390.79 368.75
30_1500_88 1000 393.48 346.05
30_1500_9 1000 398.62 372.62
30_1500_91 1000 405.59 345.1
30_1500_92 1000 379.7 275.37
30_1500_94 1000 317.77 271.16
30_1500_95 1000 381.65 307.54
30_1500_96 1000 387.5 310.81
32_1600_1 1000 393.25 314.06
32_1600_10 1000 451.52 426.33
32_1600_100 1000 587.55 493.58
32_1600_101 1000 1000 1000
32_1600_102 1000 582.77 523.16
32_1600_103 1000 535.63 526.72
32_1600_104 1000 474.78 351.78
32_1600_105 1000 583.67 361.92
32_1600_106 1000 566.66 433.15
32_1600_107 1000 464.71 403.03
32_1600_108 1000 565.45 515.77
32_1600_109 1000 1000 1000
32_1600_110 1000 1000 1000
32_1600_112 1000 596.18 534.6
32_1600_113 1000 432.79 379.5
32_1600_114 1000 463.92 1000
32_1600_115 1000 1000 1000
32_1600_116 1000 1000 1000
32_1600_117 1000 484.03 566.32
32_1600_118 1000 502.77 400.4
32_1600_119 1000 325.98 362.34
32_1600_12 1000 366.43 259.91
32_1600_120 1000 1000 1000
32_1600_121 1000 464.93 523.53
32_1600_122 1000 577.93 475.12
32_1600_123 1000 1000 553.47
32_1600_126 1000 549.22 462.17
32_1600_128 1000 435.44 332.86
32_1600_129 1000 1000 545.71
32_1600_13 1000 384.7 374.89
32_1600_131 1000 500.77 453.16
32_1600_132 1000 1000 1000
32_1600_133 1000 1000 586.52
32_1600_135 1000 1000 475.18
32_1600_136 1000 550.84 514.02
32_1600_141 1000 1000 469.03
32_1600_15 1000 422.76 345.35
32_1600_16 1000 405.33 294.96
32_1600_19 1000 486.33 438.41
32_1600_2 1000 399.89 348.6
32_1600_21 1000 419.53 342.52
32_1600_23 1000 361.61 295.9
32_1600_24 1000 376.83 380.78
32_1600_25 1000 542.56 314.62
32_1600_26 1000 505.49 387.21
32_1600_27 1000 423.14 332.96
32_1600_3 1000 1000 494.45
32_1600_30 1000 512.84 489.85
32_1600_31 1000 1000 1000
32_1600_32 1000 331.1 249.23
32_1600_33 1000 1000 495.04
32_1600_34 1000 475.37 410.19
32_1600_36 1000 523.14 421.1
32_1600_37 1000 400.82 369.76
32_1600_39 1000 460.57 341.49
32_1600_41 1000 1000 575.0
32_1600_42 1000 482.92 410.68
32_1600_44 1000 418.26 324.47
32_1600_47 1000 377.06 344.18
32_1600_48 1000 492.02 599.2
32_1600_5 1000 442.57 390.92
32_1600_51 1000 326.46 276.28
32_1600_52 1000 514.92 423.42
32_1600_53 1000 541.39 487.73
32_1600_55 1000 564.76 435.73
32_1600_56 1000 433.52 494.49
32_1600_57 1000 592.82 516.52
32_1600_59 1000 561.69 578.92
32_1600_61 1000 541.68 435.11
32_1600_62 1000 556.56 443.62
32_1600_63 1000 442.91 361.23
32_1600_64 1000 484.38 441.6
32_1600_65 1000 597.14 463.65
32_1600_66 1000 1000 1000
32_1600_67 1000 497.97 430.96
32_1600_68 1000 558.84 441.46
32_1600_7 1000 1000 1000
32_1600_70 1000 457.33 393.49
32_1600_71 1000 396.24 357.99
32_1600_73 1000 1000 1000
32_1600_76 1000 490.93 393.73
32_1600_77 1000 439.22 420.21
32_1600_78 1000 589.01 498.21
32_1600_79 1000 495.47 357.2
32_1600_8 1000 411.7 253.76
32_1600_80 1000 418.54 403.75
32_1600_81 1000 1000 1000
32_1600_82 1000 1000 578.49
32_1600_83 1000 542.82 431.84
32_1600_84 1000 497.99 280.61
32_1600_86 1000 1000 465.31
32_1600_87 1000 551.75 532.41
32_1600_89 1000 490.06 391.79
32_1600_91 1000 1000 523.85
32_1600_92 1000 461.27 398.92
32_1600_94 1000 343.37 293.8
32_1600_95 1000 529.34 460.67
32_1600_96 1000 1000 1000
32_1600_97 1000 418.36 339.36
32_1600_98 1000 399.78 318.36
34_1700_1 1000 1000 1000
34_1700_101 1000 1000 1000
34_1700_102 1000 1000 1000
34_1700_103 1000 1000 450.87
34_1700_104 1000 1000 1000
34_1700_106 1000 1000 1000
34_1700_107 1000 1000 1000
34_1700_108 1000 1000 1000
34_1700_109 1000 1000 1000
34_1700_11 1000 1000 1000
34_1700_111 1000 574.12 598.6
34_1700_112 1000 1000 1000
34_1700_114 1000 573.84 592.12
34_1700_115 1000 1000 1000
34_1700_116 1000 1000 1000
34_1700_117 1000 1000 1000
34_1700_118 1000 1000 1000
34_1700_119 1000 513.82 467.77
34_1700_120 1000 1000 1000
34_1700_121 1000 459.79 392.06
34_1700_122 1000 1000 1000
34_1700_123 1000 1000 1000
34_1700_125 1000 564.58 525.08
34_1700_126 1000 1000 533.91
34_1700_127 1000 1000 1000
34_1700_128 1000 1000 510.24
34_1700_129 1000 1000 1000
34_1700_14 1000 1000 491.99
34_1700_15 1000 530.16 491.81
34_1700_16 1000 1000 1000
34_1700_17 1000 1000 435.42
34_1700_18 1000 1000 1000
34_1700_19 1000 1000 1000
34_1700_2 1000 1000 1000
34_1700_20 1000 587.01 549.34
34_1700_21 1000 1000 1000
34_1700_23 1000 1000 1000
34_1700_24 1000 1000 1000
34_1700_25 1000 1000 566.91
34_1700_29 1000 1000 1000
34_1700_3 1000 1000 547.58
34_1700_30 1000 1000 1000
34_1700_32 1000 1000 1000
34_1700_33 1000 1000 1000
34_1700_35 1000 1000 1000
34_1700_37 1000 1000 1000
34_1700_38 1000 1000 465.42
34_1700_4 1000 579.06 566.66
34_1700_41 1000 1000 1000
34_1700_42 1000 1000 1000
34_1700_43 1000 414.51 400.19
34_1700_44 1000 1000 489.05
34_1700_45 1000 1000 1000
34_1700_47 1000 1000 513.54
34_1700_48 1000 1000 1000
34_1700_49 1000 432.45 415.27
34_1700_5 1000 1000 1000
34_1700_51 1000 1000 555.14
34_1700_52 1000 1000 1000
34_1700_53 1000 1000 1000
34_1700_54 1000 1000 1000
34_1700_57 1000 1000 581.2
34_1700_59 1000 1000 1000
34_1700_6 1000 1000 584.94
34_1700_60 1000 1000 1000
